Gene_ID,Gene Name
11754,Aoc3
76507,Aoc1
237940,Aoc2
13081,Cyp24a1
13115,Cyp27b1
231691,Sds
20887,Sult1a1
217593,Slc25a21
106557,Ldhal6b
16833,Ldhc
54122,Uevld
16832,Ldhb
16828,Ldha
80879,Slc16a3
20503,Slc16a7
20501,Slc16a1
232156,Slc4a5
54403,Slc4a4
18293,Ogdh
13382,Dld
27402,Pdhx
78920,Dlst
100417514,Adh6b
26876,Adh4
11522,Adh1
11529,Adh7
11532,Adh5
76187,Adhfe1
12846,Comt
72472,Slc16a10
11670,Aldh3a1
73458,Aldh3b3
621603,Aldh3b2
56847,Aldh1a3
67689,Aldh3b1
15445,Hpd
268860,Abat
70750,Kdsr
107766,Haao
52430,Echdc2
23923,Aadat
70266,Kyat1
13195,Ddc
17161,Maoa
109731,Maob
50799,Slc25a13
78830,Slc25a12
246277,Csad
14415,Gad1
14417,Gad2
14718,Got1
14719,Got2
212647,Aldh4a1
17250,Abcc1
20859,Sult2a1
629219,Sult2a6
434264,Sult2a5
629203,Sult2a3
434121,Sult2a4
20509,Slc19a1
11761,Aox1
110877,Slc18a1
214084,Slc18a2
14275,Folr1
14276,Folr2
17159,Man2b1
239559,A4galt
333424,A4gnt
80908,Abo
215335,Slc36a1
232333,Slc6a1
243616,Slc6a11
14412,Slc6a13
14411,Slc6a12
110446,Acat1
231086,Hadhb
52538,Acaa2
97212,Hadha
224530,Acat3
110460,Acat2
235674,Acaa1b
100705,Acacb
11416,Slc33a1
68738,Acss1
380660,Acss3
54342,Gnpnat1
56174,Nagk
109785,Pgm3
327942,Pigl
217214,Nags
11423,Ache
20508,Slc18a3
104112,Acly
94181,Nans
235504,Slc17a5
67311,Nanp
11433,Acp5
66659,Acp6
66885,Acadsb
11364,Acadm
11409,Acads
102632,Acad11
66948,Acad8
229211,Acad9
56357,Ivd
74156,Acot12
11430,Acox1
109652,Acy1
11429,Aco2
11428,Aco1
93732,Acox2
11431,Acp1
56318,Acpp
57279,Slc25a20
60525,Acss2
78894,Aacs
107626,Asmt
13106,Cyp2e1
11486,Ada
13340,Slc29a2
11639,Ak4
11637,Ak2
229949,Ak5
56248,Ak3
11702,Amd1
100041585,Amd2
11512,Adcy6
271639,Adcy10
104111,Adcy3
11514,Adcy8
210044,Adcy2
11513,Adcy7
432530,Adcy1
104110,Adcy4
11515,Adcy9
224129,Adcy5
63959,Slc29a1
434203,Slc28a1
114304,Slc28a3
269346,Slc28a2
71279,Slc29a3
53893,Nudt5
12494,Cd38
12895,Cpt1b
78070,Cpt1c
12894,Cpt1a
12896,Cpt2
23972,Papss2
23971,Papss1
11564,Adsl
231727,B3gnt4
53625,B3gnt2
108902,B4gat1
210004,B3gntl1
232984,B3gnt8
227327,B3gnt7
72297,B3gnt3
75986,Agmat
67512,Agpat2
102247,Gpat4
68262,Agpat4
28169,Agpat3
52123,Agpat5
55979,Agpat1
67216,Mboat2
268782,Agxt2
71760,Etnppl
11611,Agxt
15211,Hexa
15212,Hexb
67054,Paics
67863,Slc25a11
27376,Slc25a10
114644,Slc13a3
77337,Akr1c21
83702,Akr1c6
208665,Akr1d1
20514,Slc1a5
55963,Slc1a4
53896,Slc7a10
17254,Slc3a2
11656,Alas2
26912,Gcat
11655,Alas1
67760,Slc38a2
11988,Slc7a2
56774,Slc6a14
11987,Slc7a1
105727,Slc38a1
69354,Slc38a4
11989,Slc7a3
74338,Slc6a19
57394,Cltrn
70008,Ace2
76282,Gpt
108682,Gpt2
209837,Slc38a5
76257,Slc38a3
225791,Zadh2
58810,Akr1a1
11668,Aldh1a1
19378,Aldh1a2
110695,Aldh7a1
56752,Aldh9a1
11671,Aldh3a2
72535,Aldh1b1
11669,Aldh2
11684,Alox12
11688,Alox8
11687,Alox15
11689,Alox5
110198,Akr7a5
11677,Akr1b3
17117,Amacr
67582,Slc25a26
109674,Ampd2
229665,Ampd1
11717,Ampd3
16790,Anpep
109959,Amy2a5
100043688,Amy2a2
100043684,Amy2a4
100043686,Amy2a3
11722,Amy1
20532,Slc3a1
30962,Slc7a9
26459,Slc27a5
242669,Azin2
330836,Slc7a6
11847,Arg2
11898,Ass1
83885,Slc25a2
18408,Slc25a15
11883,Arsa
11886,Asah1
54338,Slc23a2
20522,Slc23a1
66514,Asrgl1
27053,Asns
69719,Cad
20513,Slc1a6
20510,Slc1a1
20512,Slc1a3
20511,Slc1a2
242607,Slc1a7
12496,Entpd2
12495,Entpd1
215446,Entpd3
12497,Entpd6
12499,Entpd5
72090,Entpd8
11739,Slc25a4
11740,Slc25a5
73333,Slc25a31
110173,Manba
26879,B3galnt1
54218,B3galt4
93961,B3galt5
108105,B3gnt5
12012,Baat
110948,Hlcs
22348,Slc32a1
170442,Bbox1
63857,Bco1
71911,Bdh1
64918,Bhmt2
12116,Bhmt
101488,Slco2b1
12780,Abcc2
76408,Abcc3
28253,Slco1b2
233016,Blvrb
109778,Blvra
55981,Pigb
23827,Bpnt1
26363,Btd
330064,Slc5a6
80721,Slc19a3
103149,Upb1
73166,Tm7sf2
18194,Nsdhl
15488,Hsd17b4
66234,Msmo1
320707,Atp2b3
11941,Atp2b2
67972,Atp2b1
381290,Atp2b4
12359,Cat
110893,Slc8a3
20541,Slc8a1
110891,Slc8a2
109136,Mmaa
14377,G6pc
14378,G6pc2
68401,G6pc3
227231,Cps1
12408,Cbr1
52858,Cdipt
74596,Cds1
110911,Cds2
99712,Cept1
212862,Chpt1
223753,Cerk
68018,Col4a3bp
57738,Slc15a2
12642,Ch25h
12647,Chat
237928,Phospho1
13026,Pcyt1a
236899,Pcyt1b
108096,Slco1a5
20493,Slc10a1
20494,Slc10a2
27413,Abcb11
218865,Chdh
12651,Chkb
12660,Chka
63993,Slc5a7
20518,Slc22a2
20520,Slc22a5
54200,Sult2b1
59045,Stard3
11303,Abca1
81600,Chia1
67729,Mansc1
71884,Chit1
20500,Slc13a2
13358,Slc25a1
12716,Ckmt1
76722,Ckmt2
12709,Ckb
12715,Ckm
23985,Slc26a4
171429,Slc26a6
66586,Crls1
24060,Slc35a1
12764,Cmas
73132,Slc25a16
436059,Ces2h
230027,Coq3
217707,Coq6
12850,Coq7
72077,Gcnt3
14537,Gcnt1
218476,Gcnt4
272411,B3gnt6
102857,Slc6a8
12908,Crat
30805,Slc22a4
12974,Cs
74114,Crot
20539,Slc7a5
50934,Slc7a8
12583,Cdo1
215113,Slc43a2
26570,Slc7a11
72269,Cda
11628,Aicda
80914,Uck2
22245,Uck1
66588,Cmpk1
22169,Cmpk2
320127,Dgki
217480,Dgkb
104418,Dgkz
380921,Dgkh
110197,Dgkg
227333,Dgkd
13139,Dgka
56077,Dgke
110524,Dgkq
13142,Dao
93692,Glrx
69367,Glrx2
70503,Ddo
13177,Eci1
23986,Eci2
13178,Dck
13190,Dct
20249,Scd1
56473,Fads2
76267,Fads1
13350,Dgat1
67800,Dgat2
27369,Dguok
20527,Slc2a3
20525,Slc2a1
20528,Slc2a4
74754,Dhcr24
13122,Cyp7a1
13360,Dhcr7
13244,Degs1
70059,Degs2
20860,Sult1e1
56749,Dhodh
64705,Dpys
22240,Dpysl3
12934,Dpysl2
57274,Slc16a8
110196,Fdps
74129,Dmgdh
67283,Slc25a19
380959,Alg10b
68563,Dpm3
13481,Dpm2
13480,Dpm1
59012,Moxd1
13166,Dbh
22173,Tyr
20538,Slc6a2
13162,Slc6a3
20519,Slc22a3
12183,Bpgm
18648,Pgam1
56012,Pgam2
192156,Mvd
232449,Dera
99586,Dpyd
21877,Tk1
57813,Tk2
110074,Dut
16434,Itpa
13595,Ebp
93747,Echs1
11992,Auh
51798,Ech1
74147,Ehhadh
26458,Slc27a2
108115,Slco4a1
58807,Slco1c1
239273,Abcc4
108116,Slco3a1
110826,Etfb
110842,Etfa
66841,Etfdh
75320,Etnk1
214253,Etnk2
75540,Fpgt
435766,Tnni3k
74205,Acsl3
50790,Acsl4
14081,Acsl1
433256,Acsl5
328845,Acsbg2
216739,Acsl6
117147,Acsm1
18605,Enpp1
209558,Enpp3
83603,Elovl4
170439,Elovl6
68801,Elovl5
54326,Elovl2
666168,Cyp4a31
100040843,Cyp4a32
13117,Cyp4a10
435802,Cyp4a30b
14104,Fasn
26457,Slc27a1
26569,Slc27a4
26568,Slc27a3
11674,Aldoa
230163,Aldob
11676,Aldoc
14121,Fbp1
270198,Pfkfb4
18639,Pfkfb1
170768,Pfkfb3
18640,Pfkfb2
14120,Fbp2
14151,Fech
107747,Aldh1l1
73649,Cybrd1
234730,Fcsk
71562,Afmid
13361,Dhfr
14287,Fpgs
56017,Slc2a8
20526,Slc2a2
435818,Slc2a7
56485,Slc2a5
216188,Aldh1l2
270685,Mthfd1l
108156,Mthfd1
66848,Fuca2
71665,Fuca1
14085,Fah
14194,Fh1
14343,Fut1
14348,Fut9
57370,B4galt3
53418,B4galt2
14595,B4galt1
56336,B4galt5
14571,Gpd2
56454,Aldh18a1
100198,H6pd
14381,G6pdx
14385,Slc37a4
14431,Gamt
53897,Gal3st1
19025,Ctsa
12091,Glb1
50917,Galns
18010,Neu1
14420,Galc
14421,B4galnt1
234356,Csgalnact1
78752,Csgalnact2
74241,Chpf
269941,Chsy1
78923,Chsy3
230145,Galnt12
14423,Galnt1
231605,Galnt9
14426,Galnt4
171212,Galnt10
271786,Galnt13
207839,Galnt6
78754,Galnt15
241391,Galnt5
108148,Galnt2
108150,Galnt7
71685,Galnt14
231050,Galnt11
14425,Galnt3
170441,Slc2a10
117592,B3galt6
218271,B4galt7
232714,Mgam
14450,Gart
11593,Aga
14466,Gba
227671,Gbgt1
104776,Aldh6a1
214579,Aldh5a1
434437,Amt
104174,Gldc
68133,Gcsh
14538,Gcnt2
228368,Slc35c1
22122,Tsta3
14590,Ggh
110175,Ggct
27357,Gyg
232493,Gys2
14936,Gys1
23887,Ggt5
108037,Shmt2
20425,Shmt1
11605,Gla
74185,Gbe1
110006,Gusb
109685,Hyal3
93683,Glce
100910,Chpf2
14042,Ext1
14043,Ext2
76898,B3gat1
280645,B3gat2
72727,B3gat3
27419,Naglu
64580,Ndst4
15531,Ndst1
83398,Ndst3
17423,Ndst2
54616,Extl3
58193,Extl2
56219,Extl1
117591,Slc2a9
353169,Slc2a12
227659,Slc2a6
20537,Slc5a1
77559,Agl
110078,Pygb
19309,Pygm
110095,Pygl
14629,Gclc
14630,Gclm
14661,Glud1
14317,Ftcd
14660,Gls
216456,Gls2
71803,Slc25a18
68267,Slc25a22
270076,Gcdh
140919,Slc17a6
216227,Slc17a8
72961,Slc17a7
15112,Hao1
56185,Hao2
67092,Gatm
76238,Grhpr
14933,Gk
14626,Gk2
14651,Hagh
14664,Slc6a9
110208,Pgd
14711,Gnmt
14732,Gpam
70325,Pigw
241062,Pgap1
67556,Pigm
72084,Pigx
14782,Gsr
21672,Prdx2
18477,Prdx1
14776,Gpx2
14775,Gpx1
625249,Gpx4
14778,Gpx3
75512,Gpx6
67305,Gpx7
11757,Prdx3
14854,Gss
14598,Ggt1
234889,Gucy1a2
54195,Gucy1b1
230103,Npr2
245650,Gucy2f
14917,Gucy2c
18160,Npr1
14919,Gucy2e
60596,Gucy1a1
14544,Gda
12352,Car5a
56078,Car5b
27392,Pign
230801,Pigv
99439,Duox1
214593,Duox2
11833,Aqp8
56703,Pigo
18701,Pigf
433931,Pigg
239827,Pigz
329777,Pigk
14731,Gpaa1
228812,Pigu
276846,Pigs
78928,Pigt
15108,Hsd17b10
15107,Hadh
15118,Has3
15116,Has1
15117,Has2
71883,Coq2
20535,Slc4a2
240215,Slc4a9
20533,Slc4a1
20536,Slc4a3
103988,Gck
15277,Hk2
15275,Hk1
216019,Hkdc1
212032,Hk3
15233,Hgd
58875,Hibadh
15186,Hdc
11944,Atp4a
11945,Atp4b
70789,Kynu
208715,Hmgcs1
15360,Hmgcs2
15356,Hmgcl
208982,Hmgcll1
15368,Hmox1
15369,Hmox2
56794,Hacl1
52815,Ldhd
27029,Sgsh
15483,Hsd11b1
15484,Hsd11b2
15485,Hsd17b1
14979,H2-Ke6
15486,Hsd17b2
15490,Hsd17b7
15497,Hsd3b6
15492,Hsd3b1
15496,Hsd3b5
15494,Hsd3b3
15493,Hsd3b2
15495,Hsd3b4
100043456,Gm10681
101502,Hsd3b7
57028,Pdxp
15929,Idh3g
170718,Idh3b
67834,Idh3a
15926,Idh1
269951,Idh2
22018,Tpo
15932,Idua
12036,Bcat2
72401,Slc43a1
56727,Miox
239606,Slc2a13
53881,Slc5a3
319554,Idi1
320581,Idi2
216225,Slc5a8
56451,Suclg1
20917,Suclg2
20916,Sucla2
20498,Slc12a4
20499,Slc12a7
107723,Slc12a6
57138,Slc12a5
16548,Khk
236727,Slc9a7
77031,Slc9a8
98256,Kmo
226413,Lct
11432,Acp2
16816,Lcat
171405,Slc22a27
207151,Slc22a19
236149,Slc22a26
236293,Slc22a29
319800,Slc22a30
434674,Slc22a28
327951,Cyb5d1
64008,Aqp9
106648,Cyp4f15
16987,Lss
18783,Pla2g4a
12735,-
19193,Pipox
16956,Lpl
15450,Lipc
12613,Cel
116939,Pnpla3
23945,Mgll
237625,Pla2g3
79235,Lrat
235293,Sc5d
16993,Lta4h
17001,Ltc4s
66447,Mgst3
211666,Mgst2
14874,Gstz1
14387,Gaa
72039,Mccc1
78038,Mccc2
56690,Mlycd
246221,Mpst
17448,Mdh2
17449,Mdh1
107029,Me2
17436,Me1
109264,Me3
15930,Ido1
13095,Cyp2c29
13076,Cyp1a1
13078,Cyp1b1
13077,Cyp1a2
11720,Mat1a
108645,Mat2b
232087,Mat2a
238505,Mtr
17855,Mvk
16331,Inpp5d
104015,Synj1
16332,Inppl1
170835,Inpp5j
16330,Inpp5b
64436,Inpp5e
212111,Inpp5a
16329,Inpp1
228550,Itpka
233011,Itpkc
320404,Itpkb
71780,Isyna1
269180,Inpp4a
234515,Inpp4b
76051,Ganc
73724,Mcee
17850,Mmut
68393,Mogat1
233549,Mogat2
66902,Mtap
17768,Mthfd2
94192,C1galt1
11484,Aspa
71670,Acy3
17939,Naga
59033,Slc4a8
94229,Slc4a10
114479,Slc5a5
11931,Atp1b1
232975,Atp1a3
98660,Atp1a2
67821,Atp1b4
11933,Atp1b3
11928,Atp1a1
27222,Atp1a4
11932,Atp1b2
20544,Slc9a1
105243,Slc9a3
226999,Slc9a2
338403,Cndp1
66054,Cndp2
20497,Slc12a3
238384,Slc24a4
94249,Slc24a3
214111,Slc24a1
76376,Slc24a2
76025,Cant1
66422,Dctpp1
67464,Entpd4
100862375,Entpd4b
21915,Dtymk
79059,Nme3
18103,Nme2
18102,Nme1
54369,Nme6
171567,Nme7
56520,Nme4
58176,Rhbg
19743,Rhag
20495,Slc12a1
20496,Slc12a2
74080,Nmnat3
66454,Nmnat1
226518,Nmnat2
59027,Nampt
18113,Nnmt
18948,Pnmt
18127,Nos3
18125,Nos1
18126,Nos2
667034,Pnp2
18950,Pnp
20517,Slc22a1
20445,St6galnac1
50773,Nt5c
18675,Phex
103850,Nt5m
23959,Nt5e
69983,Sis
18416,Otc
67041,Oxct1
353371,Oxct2b
13171,Dbt
12040,Bckdhb
12039,Bckdha
75475,Oplah
18242,Oat
22247,Umps
13521,Slc26a2
231583,Slc26a1
13487,Slc26a3
13070,Cyp11a1
13072,Cyp11b2
110115,Cyp11b1
13074,Cyp17a1
13075,Cyp19a1
56388,Cyp3a25
13113,Cyp3a13
13114,Cyp3a16
337924,Cyp3a44
13112,Cyp3a11
100041449,Cyp3a59
622127,Cyp3a57
100041375,Cyp3a41b
13079,Cyp21a1
104086,Cyp27a1
13086,Cyp2a4
13087,Cyp2a5
72082,Cyp2c55
13097,Cyp2c38
13098,Cyp2c39
69888,Cyp2c66
72303,Cyp2c65
56448,Cyp2d22
13107,Cyp2f2
56050,Cyp39a1
53973,Cyp3a41a
13116,Cyp46a1
64385,Cyp4f14
170716,Cyp4f13
72054,Cyp4f18
13123,Cyp7b1
13124,Cyp8b1
209027,Pycr1
100163,Pafah2
18475,Pafah1b2
18476,Pafah1b3
18472,Pafah1b1
27226,Pla2g7
73836,Slc35b2
11982,Atp10a
18806,Pld2
18805,Pld1
266645,Acmsd
18563,Pcx
18670,Abcb4
54611,Pde3a
18578,Pde4b
18584,Pde8a
18574,Pde1b
18583,Pde7a
110385,Pde4c
18575,Pde1c
238871,Pde4d
18573,Pde1a
18576,Pde3b
23984,Pde10a
18577,Pde4a
207728,Pde2a
29863,Pde7b
241489,Pde11a
218461,Pde8b
110855,Pde6c
18585,Pde9a
242202,Pde5a
225600,Pde6a
18587,Pde6b
78600,Pde6h
18582,Pde6d
18588,Pde6g
18598,Pdha2
68263,Pdhb
235339,Dlat
18597,Pdha1
103711,Pnpo
11980,Atp8a1
18534,Pck1
74551,Pck2
80911,Acox3
68671,Pcyt2
18618,Pemt
236539,Phgdh
